call_id,filename,filepath,dataset,emotion,transcript,split
1001_IEO_SAD_MD,1001_IEO_SAD_MD.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_IEO_SAD_MD.wav,CREMA-D,sadness,,train
1001_IOM_ANG_XX,1001_IOM_ANG_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_IOM_ANG_XX.wav,CREMA-D,anger,,train
1001_IOM_DIS_XX,1001_IOM_DIS_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_IOM_DIS_XX.wav,CREMA-D,disgust,,train
1001_IOM_FEA_XX,1001_IOM_FEA_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_IOM_FEA_XX.wav,CREMA-D,fear,,train
1001_IOM_NEU_XX,1001_IOM_NEU_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_IOM_NEU_XX.wav,CREMA-D,neutral,,test
1001_IOM_SAD_XX,1001_IOM_SAD_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_IOM_SAD_XX.wav,CREMA-D,sadness,,train
1001_ITH_ANG_XX,1001_ITH_ANG_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_ITH_ANG_XX.wav,CREMA-D,anger,,train
1001_ITH_DIS_XX,1001_ITH_DIS_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_ITH_DIS_XX.wav,CREMA-D,disgust,,train
1001_ITH_FEA_XX,1001_ITH_FEA_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_ITH_FEA_XX.wav,CREMA-D,fear,,train
1001_ITH_NEU_XX,1001_ITH_NEU_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_ITH_NEU_XX.wav,CREMA-D,neutral,,train
1001_ITH_SAD_XX,1001_ITH_SAD_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_ITH_SAD_XX.wav,CREMA-D,sadness,,train
1001_ITS_ANG_XX,1001_ITS_ANG_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_ITS_ANG_XX.wav,CREMA-D,anger,,train
1001_ITS_DIS_XX,1001_ITS_DIS_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_ITS_DIS_XX.wav,CREMA-D,disgust,,train
1001_ITS_FEA_XX,1001_ITS_FEA_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_ITS_FEA_XX.wav,CREMA-D,fear,,train
1001_ITS_NEU_XX,1001_ITS_NEU_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_ITS_NEU_XX.wav,CREMA-D,neutral,,train
1001_ITS_SAD_XX,1001_ITS_SAD_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_ITS_SAD_XX.wav,CREMA-D,sadness,,train
1001_IWL_ANG_XX,1001_IWL_ANG_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_IWL_ANG_XX.wav,CREMA-D,anger,,train
1001_IWL_DIS_XX,1001_IWL_DIS_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_IWL_DIS_XX.wav,CREMA-D,disgust,,train
1001_IWL_FEA_XX,1001_IWL_FEA_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_IWL_FEA_XX.wav,CREMA-D,fear,,train
1001_IWL_NEU_XX,1001_IWL_NEU_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_IWL_NEU_XX.wav,CREMA-D,neutral,,train
1001_IWL_SAD_XX,1001_IWL_SAD_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_IWL_SAD_XX.wav,CREMA-D,sadness,,train
1001_IWW_ANG_XX,1001_IWW_ANG_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_IWW_ANG_XX.wav,CREMA-D,anger,,test
1001_IWW_DIS_XX,1001_IWW_DIS_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_IWW_DIS_XX.wav,CREMA-D,disgust,,train
1001_IWW_FEA_XX,1001_IWW_FEA_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_IWW_FEA_XX.wav,CREMA-D,fear,,train
1001_IWW_NEU_XX,1001_IWW_NEU_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_IWW_NEU_XX.wav,CREMA-D,neutral,,train
1001_IWW_SAD_XX,1001_IWW_SAD_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_IWW_SAD_XX.wav,CREMA-D,sadness,,train
1001_MTI_ANG_XX,1001_MTI_ANG_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_MTI_ANG_XX.wav,CREMA-D,anger,,train
1001_MTI_DIS_XX,1001_MTI_DIS_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_MTI_DIS_XX.wav,CREMA-D,disgust,,train
1001_MTI_FEA_XX,1001_MTI_FEA_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_MTI_FEA_XX.wav,CREMA-D,fear,,train
1001_MTI_NEU_XX,1001_MTI_NEU_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_MTI_NEU_XX.wav,CREMA-D,neutral,,train
1001_MTI_SAD_XX,1001_MTI_SAD_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_MTI_SAD_XX.wav,CREMA-D,sadness,,train
1001_TAI_ANG_XX,1001_TAI_ANG_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_TAI_ANG_XX.wav,CREMA-D,anger,,train
1001_TAI_DIS_XX,1001_TAI_DIS_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_TAI_DIS_XX.wav,CREMA-D,disgust,,train
1001_TAI_FEA_XX,1001_TAI_FEA_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_TAI_FEA_XX.wav,CREMA-D,fear,,train
1001_TAI_NEU_XX,1001_TAI_NEU_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_TAI_NEU_XX.wav,CREMA-D,neutral,,train
1001_TAI_SAD_XX,1001_TAI_SAD_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_TAI_SAD_XX.wav,CREMA-D,sadness,,val
1001_TIE_ANG_XX,1001_TIE_ANG_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_TIE_ANG_XX.wav,CREMA-D,anger,,train
1001_TIE_DIS_XX,1001_TIE_DIS_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_TIE_DIS_XX.wav,CREMA-D,disgust,,test
1001_TIE_FEA_XX,1001_TIE_FEA_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_TIE_FEA_XX.wav,CREMA-D,fear,,test
1001_TIE_NEU_XX,1001_TIE_NEU_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_TIE_NEU_XX.wav,CREMA-D,neutral,,train
1001_TIE_SAD_XX,1001_TIE_SAD_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_TIE_SAD_XX.wav,CREMA-D,sadness,,train
1001_TSI_ANG_XX,1001_TSI_ANG_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_TSI_ANG_XX.wav,CREMA-D,anger,,train
1001_TSI_DIS_XX,1001_TSI_DIS_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_TSI_DIS_XX.wav,CREMA-D,disgust,,train
1001_TSI_FEA_XX,1001_TSI_FEA_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_TSI_FEA_XX.wav,CREMA-D,fear,,test
1001_TSI_NEU_XX,1001_TSI_NEU_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_TSI_NEU_XX.wav,CREMA-D,neutral,,train
1001_TSI_SAD_XX,1001_TSI_SAD_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_TSI_SAD_XX.wav,CREMA-D,sadness,,train
1001_WSI_ANG_XX,1001_WSI_ANG_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_WSI_ANG_XX.wav,CREMA-D,anger,,train
1001_WSI_DIS_XX,1001_WSI_DIS_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_WSI_DIS_XX.wav,CREMA-D,disgust,,test
1001_WSI_FEA_XX,1001_WSI_FEA_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_WSI_FEA_XX.wav,CREMA-D,fear,,train
1001_WSI_NEU_XX,1001_WSI_NEU_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_WSI_NEU_XX.wav,CREMA-D,neutral,,train
1001_WSI_SAD_XX,1001_WSI_SAD_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_WSI_SAD_XX.wav,CREMA-D,sadness,,train
1002_DFA_ANG_XX,1002_DFA_ANG_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_DFA_ANG_XX.wav,CREMA-D,anger,,train
1002_DFA_DIS_XX,1002_DFA_DIS_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_DFA_DIS_XX.wav,CREMA-D,disgust,,train
1002_DFA_FEA_XX,1002_DFA_FEA_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_DFA_FEA_XX.wav,CREMA-D,fear,,train
1002_DFA_NEU_XX,1002_DFA_NEU_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_DFA_NEU_XX.wav,CREMA-D,neutral,,train
1002_DFA_SAD_XX,1002_DFA_SAD_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_DFA_SAD_XX.wav,CREMA-D,sadness,,test
1002_IEO_ANG_HI,1002_IEO_ANG_HI.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_IEO_ANG_HI.wav,CREMA-D,anger,,val
1002_IEO_ANG_LO,1002_IEO_ANG_LO.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_IEO_ANG_LO.wav,CREMA-D,anger,,test
1002_IEO_ANG_MD,1002_IEO_ANG_MD.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_IEO_ANG_MD.wav,CREMA-D,anger,,train
1002_IEO_DIS_HI,1002_IEO_DIS_HI.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_IEO_DIS_HI.wav,CREMA-D,disgust,,train
1002_IEO_DIS_LO,1002_IEO_DIS_LO.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_IEO_DIS_LO.wav,CREMA-D,disgust,,test
1002_IEO_DIS_MD,1002_IEO_DIS_MD.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_IEO_DIS_MD.wav,CREMA-D,disgust,,test
1002_IEO_FEA_HI,1002_IEO_FEA_HI.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_IEO_FEA_HI.wav,CREMA-D,fear,,train
1002_IEO_FEA_LO,1002_IEO_FEA_LO.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_IEO_FEA_LO.wav,CREMA-D,fear,,train
1002_IEO_FEA_MD,1002_IEO_FEA_MD.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_IEO_FEA_MD.wav,CREMA-D,fear,,train
1002_IEO_NEU_XX,1002_IEO_NEU_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_IEO_NEU_XX.wav,CREMA-D,neutral,,train
1002_IEO_SAD_HI,1002_IEO_SAD_HI.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_IEO_SAD_HI.wav,CREMA-D,sadness,,train
1002_IEO_SAD_LO,1002_IEO_SAD_LO.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_IEO_SAD_LO.wav,CREMA-D,sadness,,train
1002_IEO_SAD_MD,1002_IEO_SAD_MD.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_IEO_SAD_MD.wav,CREMA-D,sadness,,train
1002_IOM_ANG_XX,1002_IOM_ANG_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_IOM_ANG_XX.wav,CREMA-D,anger,,train
1002_IOM_DIS_XX,1002_IOM_DIS_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_IOM_DIS_XX.wav,CREMA-D,disgust,,train
1002_IOM_FEA_XX,1002_IOM_FEA_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_IOM_FEA_XX.wav,CREMA-D,fear,,train
1002_IOM_NEU_XX,1002_IOM_NEU_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_IOM_NEU_XX.wav,CREMA-D,neutral,,test
1002_IOM_SAD_XX,1002_IOM_SAD_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_IOM_SAD_XX.wav,CREMA-D,sadness,,train
1002_ITH_ANG_XX,1002_ITH_ANG_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_ITH_ANG_XX.wav,CREMA-D,anger,,train
1002_ITH_DIS_XX,1002_ITH_DIS_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_ITH_DIS_XX.wav,CREMA-D,disgust,,train
1002_ITH_FEA_XX,1002_ITH_FEA_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_ITH_FEA_XX.wav,CREMA-D,fear,,train
1002_ITH_NEU_XX,1002_ITH_NEU_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_ITH_NEU_XX.wav,CREMA-D,neutral,,test
1002_ITH_SAD_XX,1002_ITH_SAD_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_ITH_SAD_XX.wav,CREMA-D,sadness,,train
1002_ITS_ANG_XX,1002_ITS_ANG_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_ITS_ANG_XX.wav,CREMA-D,anger,,train
1002_ITS_DIS_XX,1002_ITS_DIS_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_ITS_DIS_XX.wav,CREMA-D,disgust,,train
1002_ITS_FEA_XX,1002_ITS_FEA_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_ITS_FEA_XX.wav,CREMA-D,fear,,test
1002_ITS_NEU_XX,1002_ITS_NEU_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_ITS_NEU_XX.wav,CREMA-D,neutral,,train
1002_ITS_SAD_XX,1002_ITS_SAD_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_ITS_SAD_XX.wav,CREMA-D,sadness,,train
1002_IWL_ANG_XX,1002_IWL_ANG_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_IWL_ANG_XX.wav,CREMA-D,anger,,val
1002_IWL_DIS_XX,1002_IWL_DIS_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_IWL_DIS_XX.wav,CREMA-D,disgust,,val
1002_IWL_FEA_XX,1002_IWL_FEA_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_IWL_FEA_XX.wav,CREMA-D,fear,,train
1002_IWL_NEU_XX,1002_IWL_NEU_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_IWL_NEU_XX.wav,CREMA-D,neutral,,train
1002_IWL_SAD_XX,1002_IWL_SAD_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_IWL_SAD_XX.wav,CREMA-D,sadness,,test
1002_IWW_ANG_XX,1002_IWW_ANG_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_IWW_ANG_XX.wav,CREMA-D,anger,,train
1002_IWW_DIS_XX,1002_IWW_DIS_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_IWW_DIS_XX.wav,CREMA-D,disgust,,train
1002_IWW_FEA_XX,1002_IWW_FEA_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_IWW_FEA_XX.wav,CREMA-D,fear,,val
1002_IWW_NEU_XX,1002_IWW_NEU_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_IWW_NEU_XX.wav,CREMA-D,neutral,,train
1002_IWW_SAD_XX,1002_IWW_SAD_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_IWW_SAD_XX.wav,CREMA-D,sadness,,train
1002_MTI_ANG_XX,1002_MTI_ANG_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_MTI_ANG_XX.wav,CREMA-D,anger,,train
1002_MTI_DIS_XX,1002_MTI_DIS_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_MTI_DIS_XX.wav,CREMA-D,disgust,,train
1002_MTI_FEA_XX,1002_MTI_FEA_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_MTI_FEA_XX.wav,CREMA-D,fear,,train
1002_MTI_NEU_XX,1002_MTI_NEU_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_MTI_NEU_XX.wav,CREMA-D,neutral,,train
1002_MTI_SAD_XX,1002_MTI_SAD_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_MTI_SAD_XX.wav,CREMA-D,sadness,,train
1002_TAI_ANG_XX,1002_TAI_ANG_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_TAI_ANG_XX.wav,CREMA-D,anger,,test
1002_TAI_DIS_XX,1002_TAI_DIS_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_TAI_DIS_XX.wav,CREMA-D,disgust,,test
1002_TAI_FEA_XX,1002_TAI_FEA_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_TAI_FEA_XX.wav,CREMA-D,fear,,val
1002_TAI_NEU_XX,1002_TAI_NEU_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_TAI_NEU_XX.wav,CREMA-D,neutral,,train
1002_TAI_SAD_XX,1002_TAI_SAD_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_TAI_SAD_XX.wav,CREMA-D,sadness,,train
1002_TIE_ANG_XX,1002_TIE_ANG_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_TIE_ANG_XX.wav,CREMA-D,anger,,train
1002_TIE_DIS_XX,1002_TIE_DIS_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_TIE_DIS_XX.wav,CREMA-D,disgust,,train
1002_TIE_FEA_XX,1002_TIE_FEA_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_TIE_FEA_XX.wav,CREMA-D,fear,,val
1002_TIE_SAD_XX,1002_TIE_SAD_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_TIE_SAD_XX.wav,CREMA-D,sadness,,train
1002_TSI_ANG_XX,1002_TSI_ANG_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_TSI_ANG_XX.wav,CREMA-D,anger,,test
1002_TSI_DIS_XX,1002_TSI_DIS_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_TSI_DIS_XX.wav,CREMA-D,disgust,,test
1002_TSI_FEA_XX,1002_TSI_FEA_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_TSI_FEA_XX.wav,CREMA-D,fear,,train
1002_TSI_NEU_XX,1002_TSI_NEU_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_TSI_NEU_XX.wav,CREMA-D,neutral,,train
1002_TSI_SAD_XX,1002_TSI_SAD_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_TSI_SAD_XX.wav,CREMA-D,sadness,,train
1002_WSI_ANG_XX,1002_WSI_ANG_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_WSI_ANG_XX.wav,CREMA-D,anger,,test
1002_WSI_DIS_XX,1002_WSI_DIS_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_WSI_DIS_XX.wav,CREMA-D,disgust,,val
1002_WSI_FEA_XX,1002_WSI_FEA_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_WSI_FEA_XX.wav,CREMA-D,fear,,train
1002_WSI_NEU_XX,1002_WSI_NEU_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_WSI_NEU_XX.wav,CREMA-D,neutral,,test
1002_WSI_SAD_XX,1002_WSI_SAD_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1002_WSI_SAD_XX.wav,CREMA-D,sadness,,train
1003_DFA_ANG_XX,1003_DFA_ANG_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1003_DFA_ANG_XX.wav,CREMA-D,anger,,train
1003_DFA_DIS_XX,1003_DFA_DIS_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1003_DFA_DIS_XX.wav,CREMA-D,disgust,,train
1003_DFA_FEA_XX,1003_DFA_FEA_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1003_DFA_FEA_XX.wav,CREMA-D,fear,,test
1003_DFA_NEU_XX,1003_DFA_NEU_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1003_DFA_NEU_XX.wav,CREMA-D,neutral,,train
1003_DFA_SAD_XX,1003_DFA_SAD_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1003_DFA_SAD_XX.wav,CREMA-D,sadness,,train
1003_IEO_ANG_HI,1003_IEO_ANG_HI.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1003_IEO_ANG_HI.wav,CREMA-D,anger,,test
1003_IEO_ANG_LO,1003_IEO_ANG_LO.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1003_IEO_ANG_LO.wav,CREMA-D,anger,,train
1003_IEO_ANG_MD,1003_IEO_ANG_MD.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1003_IEO_ANG_MD.wav,CREMA-D,anger,,train
1003_IEO_DIS_HI,1003_IEO_DIS_HI.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1003_IEO_DIS_HI.wav,CREMA-D,disgust,,val
1003_IEO_DIS_LO,1003_IEO_DIS_LO.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1003_IEO_DIS_LO.wav,CREMA-D,disgust,,val
1003_IEO_DIS_MD,1003_IEO_DIS_MD.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1003_IEO_DIS_MD.wav,CREMA-D,disgust,,test
1003_IEO_FEA_HI,1003_IEO_FEA_HI.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1003_IEO_FEA_HI.wav,CREMA-D,fear,,train
1003_IEO_FEA_LO,1003_IEO_FEA_LO.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1003_IEO_FEA_LO.wav,CREMA-D,fear,,test
1003_IEO_FEA_MD,1003_IEO_FEA_MD.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1003_IEO_FEA_MD.wav,CREMA-D,fear,,test
1003_IEO_NEU_XX,1003_IEO_NEU_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1003_IEO_NEU_XX.wav,CREMA-D,neutral,,train
1003_IEO_SAD_HI,1003_IEO_SAD_HI.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1003_IEO_SAD_HI.wav,CREMA-D,sadness,,val
1003_IEO_SAD_LO,1003_IEO_SAD_LO.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1003_IEO_SAD_LO.wav,CREMA-D,sadness,,train
1003_IEO_SAD_MD,1003_IEO_SAD_MD.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1003_IEO_SAD_MD.wav,CREMA-D,sadness,,train
1003_IOM_ANG_XX,1003_IOM_ANG_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1003_IOM_ANG_XX.wav,CREMA-D,anger,,test
1003_IOM_DIS_XX,1003_IOM_DIS_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1003_IOM_DIS_XX.wav,CREMA-D,disgust,,test
1003_IOM_FEA_XX,1003_IOM_FEA_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1003_IOM_FEA_XX.wav,CREMA-D,fear,,train
1003_IOM_NEU_XX,1003_IOM_NEU_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1003_IOM_NEU_XX.wav,CREMA-D,neutral,,train
